"Home Team","Away Team","Match Date","Home Goals","Away Goals","H Shots","H Shots - Target","A Shots","A Shots - Target","Division","Season"
"Reading","Everton","17-NOV-12","2","1","12","4","21","11","1","2012"
"Newcastle","Swansea","17-NOV-12","1","2","27","10","15","9","1","2012"
"Norwich","Man United","17-NOV-12","1","0","10","5","12","9","1","2012"
"West Brom","Chelsea","17-NOV-12","2","1","8","6","19","12","1","2012"
"Liverpool","Wigan","17-NOV-12","3","0","22","11","9","3","1","2012"
"Arsenal","Tottenham","17-NOV-12","5","2","13","10","6","4","1","2012"
"QPR","Southampton","17-NOV-12","1","3","13","7","21","15","1","2012"
"Man City","Aston Villa","17-NOV-12","5","0","21","8","10","8","1","2012"
"Chelsea","Liverpool","11-NOV-12","1","1","12","3","9","5","1","2012"
"Man City","Tottenham","11-NOV-12","2","1","16","8","6","2","1","2012"
"Newcastle","West Ham","11-NOV-12","0","1","14","9","10","5","1","2012"
"Reading","Norwich","10-NOV-12","0","0","7","3","10","3","1","2012"
"Stoke","QPR","10-NOV-12","1","0","10","5","17","8","1","2012"
"Southampton","Swansea","10-NOV-12","1","1","11","5","5","3","1","2012"
"Arsenal","Fulham","10-NOV-12","3","3","15","9","9","5","1","2012"
"Everton","Sunderland","10-NOV-12","2","1","16","10","6","4","1","2012"
"Aston Villa","Man United","10-NOV-12","2","3","10","7","16","7","1","2012"
"Wigan","West Brom","10-NOV-12","1","2","14","6","7","4","1","2012"
"West Brom","Southampton","05-NOV-12","2","0","16","6","9","5","1","2012"
"Liverpool","Newcastle","04-NOV-12","1","1","20","12","10","3","1","2012"
"QPR","Reading","04-NOV-12","1","1","23","12","18","8","1","2012"
"Norwich","Stoke","03-NOV-12","1","0","12","8","8","3","1","2012"
"Sunderland","Aston Villa","03-NOV-12","0","1","11","1","9","6","1","2012"
"Fulham","Everton","03-NOV-12","2","2","8","5","26","15","1","2012"
"Man United","Arsenal","03-NOV-12","2","1","11","7","7","3","1","2012"
"West Ham","Man City","03-NOV-12","0","0","6","1","18","8","1","2012"
"Tottenham","Wigan","03-NOV-12","0","1","13","10","7","4","1","2012"
"Swansea","Chelsea","03-NOV-12","1","1","9","7","11","7","1","2012"
"Everton","Liverpool","28-OCT-12","2","2","17","8","12","5","1","2012"
"Newcastle","West Brom","28-OCT-12","2","1","10","6","8","4","1","2012"
"Southampton","Tottenham","28-OCT-12","1","2","11","6","11","4","1","2012"
"Chelsea","Man United","28-OCT-12","2","3","14","11","15","7","1","2012"
"Reading","Fulham","27-OCT-12","3","3","15","9","16","8","1","2012"
"Stoke","Sunderland","27-OCT-12","0","0","11","6","6","3","1","2012"
"Wigan","West Ham","27-OCT-12","2","1","17","13","15","11","1","2012"
"Arsenal","QPR","27-OCT-12","1","0","21","11","4","3","1","2012"
"Aston Villa","Norwich","27-OCT-12","1","1","7","5","14","6","1","2012"
"Man City","Swansea","27-OCT-12","1","0","10","5","9","5","1","2012"
"QPR","Everton","21-OCT-12","1","1","14","6","10","4","1","2012"
"Sunderland","Newcastle","21-OCT-12","1","1","16","6","10","7","1","2012"
"West Brom","Man City","20-OCT-12","1","2","16","8","21","13","1","2012"
"Tottenham","Chelsea","20-OCT-12","2","4","23","16","11","7","1","2012"
"Liverpool","Reading","20-OCT-12","1","0","23","13","8","5","1","2012"
"Man United","Stoke","20-OCT-12","4","2","13","8","8","6","1","2012"
"West Ham","Southampton","20-OCT-12","4","1","9","8","11","4","1","2012"
"Norwich","Arsenal","20-OCT-12","1","0","7","3","13","7","1","2012"
"Swansea","Wigan","20-OCT-12","2","1","18","11","10","7","1","2012"
"Fulham","Aston Villa","20-OCT-12","1","0","17","8","9","4","1","2012"
"Newcastle","Man United","07-OCT-12","0","3","13","3","12","9","1","2012"
"Liverpool","Stoke","07-OCT-12","0","0","16","5","5","3","1","2012"
"Tottenham","Aston Villa","07-OCT-12","2","0","23","10","8","5","1","2012"
"Southampton","Fulham","07-OCT-12","2","2","13","6","14","5","1","2012"
"Chelsea","Norwich","06-OCT-12","4","1","20","13","7","4","1","2012"
"Man City","Sunderland","06-OCT-12","3","0","26","16","8","6","1","2012"
"Swansea","Reading","06-OCT-12","2","2","25","16","8","6","1","2012"
"Wigan","Everton","06-OCT-12","2","2","10","6","16","11","1","2012"
"West Ham","Arsenal","06-OCT-12","1","3","7","3","20","14","1","2012"
"West Brom","QPR","06-OCT-12","3","2","13","8","13","6","1","2012"
"QPR","West Ham","01-OCT-12","1","2","13","9","17","10","1","2012"
"Aston Villa","West Brom","30-SEP-12","1","1","19","8","14","7","1","2012"
"Sunderland","Wigan","29-SEP-12","1","0","11","6","8","3","1","2012"
"Everton","Southampton","29-SEP-12","3","1","17","9","8","2","1","2012"
"Arsenal","Chelsea","29-SEP-12","1","2","14","5","10","5","1","2012"
"Fulham","Man City","29-SEP-12","1","2","7","3","21","12","1","2012"
"Norwich","Liverpool","29-SEP-12","2","5","10","7","10","6","1","2012"
"Man United","Tottenham","29-SEP-12","2","3","15","8","10","6","1","2012"
"Stoke","Swansea","29-SEP-12","2","0","10","5","8","0","1","2012"
"Reading","Newcastle","29-SEP-12","2","2","14","7","8","3","1","2012"
"Tottenham","QPR","23-SEP-12","2","1","18","14","9","6","1","2012"
"Liverpool","Man United","23-SEP-12","1","2","13","8","8","4","1","2012"
"Newcastle","Norwich","23-SEP-12","1","0","16","8","8","3","1","2012"
"Man City","Arsenal","23-SEP-12","1","1","14","10","10","4","1","2012"
"West Brom","Reading","22-SEP-12","1","0","9","4","8","1","1","2012"
"West Ham","Sunderland","22-SEP-12","1","1","20","11","4","2","1","2012"
"Wigan","Fulham","22-SEP-12","1","2","18","9","12","9","1","2012"
"Chelsea","Stoke","22-SEP-12","1","0","17","9","13","6","1","2012"
"Southampton","Aston Villa","22-SEP-12","4","1","12","4","8","2","1","2012"
"Swansea","Everton","22-SEP-12","0","3","18","11","30","19","1","2012"
"Everton","Newcastle","17-SEP-12","2","2","17","10","11","7","1","2012"
"Reading","Tottenham","16-SEP-12","1","3","4","2","22","11","1","2012"
"Fulham","West Brom","15-SEP-12","3","0","23","14","10","8","1","2012"
"Sunderland","Liverpool","15-SEP-12","1","1","6","4","20","9","1","2012"
"Aston Villa","Swansea","15-SEP-12","2","0","17","13","10","5","1","2012"
"Stoke","Man City","15-SEP-12","1","1","4","3","15","11","1","2012"
